x,y,harmonic
0.0,-0.7674461015149385,0
1.0,0.6305364394884968,0
2.0,-2.1487379452079085,0
3.0,-0.37576641900463115,0
4.0,0.4061683974718877,0
5.0,0.04909563967616907,0
6.0,2.5417429117931927,0
7.0,-1.7006530068235564,0
8.0,-0.2820365006016473,0
9.0,-0.1806748517313305,0
10.0,-0.27319306819554706,0
11.0,0.3644261415377576,0
12.0,-0.7895760508517013,0
13.0,-1.6217696322245856,0
14.0,-0.7249145283595406,0
15.0,0.7981443718914584,0
16.0,-1.1472743600444169,0
17.0,0.7932904723131844,0
18.0,1.4175905882362323,0
19.0,-0.972233227835251,0
20.0,-1.265505126031769,0
21.0,-0.640100421703752,0
22.0,-0.3672877877626649,0
23.0,-1.6137778072583746,0
24.0,0.33174181824811916,0
25.0,0.0029618275594948673,0
26.0,-0.17643777062862032,0
27.0,0.6022346999074671,0
28.0,1.3051506159955464,0
29.0,2.7666327070477843,0
30.0,3.0386689960998456,0
31.0,4.133476526925557,0
32.0,3.307355439195029,0
33.0,1.982134476071421,0
34.0,1.6320267930707322,0
35.0,4.582361537495823,0
36.0,3.4850859907354064,0
37.0,4.274396522835694,0
38.0,4.537417902431213,0
39.0,5.431723725276581,0
40.0,6.750618300981187,0
41.0,4.496834994512857,0
42.0,5.593354709239109,0
43.0,7.491059959716063,0
44.0,7.470839562072565,0
45.0,7.853384298102094,0
46.0,10.259630583802231,0
47.0,8.782003838683375,0
48.0,9.567058857118628,0
49.0,9.697934279977186,0
50.0,9.269159972926616,0
51.0,11.000539619797953,0
52.0,9.155513511740745,0
53.0,11.176388803233733,0
54.0,9.844879497056505,0
55.0,9.73928627961939,0
56.0,9.165612899647606,0
57.0,8.866259580622161,0
58.0,4.870065407522133,0
59.0,5.240858295279797,0
60.0,4.362178129049844,0
61.0,6.957092086029691,0
62.0,3.988749559495468,0
63.0,3.193620076405683,0
64.0,2.876633438441455,0
65.0,3.395993777090981,0
66.0,2.523264091630284,0
67.0,2.0488011696245665,0
68.0,2.573124333281185,0
69.0,1.0612944729414853,0
70.0,2.0578321984644434,0
71.0,0.7769803709667824,0
72.0,1.285353894708132,0
73.0,0.9835904399407782,0
74.0,0.39937610290732783,0
75.0,0.17825147273264763,0
76.0,0.6338780324789046,0
77.0,1.3122720047111271,0
78.0,0.11765523526862744,0
79.0,0.14222772406227396,0
80.0,0.5888466163313211,0
81.0,-0.539359383690809,0
82.0,-1.8153313482410163,0
83.0,1.0999915268023708,0
84.0,-0.3354916576087543,0
85.0,-1.2706391357361237,0
86.0,3.0282004505697113,0
87.0,1.7026257062399992,0
88.0,-0.7327927012775923,0
89.0,1.1278049055661101,0
90.0,0.2722950696329466,0
91.0,-2.300590880474918,0
92.0,1.8538405990506328,0
93.0,-0.3704636292301288,0
94.0,-0.7858713096417611,0
95.0,-0.681474949431046,0
96.0,-0.10839256577948361,0
97.0,0.08302954023947595,0
98.0,0.35050280000924033,0
99.0,-0.16703777511315124,0
