x,y,bragg_angle
0.0,-0.18832888875969767,60.0
1.0,-0.3563729419786884,60.0
2.0,-0.9474549801100345,60.0
3.0,-0.4650238245564424,60.0
4.0,0.8564851702821848,60.0
5.0,-0.6406665513545367,60.0
6.0,0.5233446463748557,60.0
7.0,-0.9210463026424076,60.0
8.0,0.766059720122662,60.0
9.0,-0.7241235362485517,60.0
10.0,-0.4457875660499178,60.0
11.0,-0.13264383519935166,60.0
12.0,1.5873919907309515,60.0
13.0,0.09115977259045759,60.0
14.0,-1.884188879888628,60.0
15.0,0.4669121162512267,60.0
16.0,-1.6098784442206528,60.0
17.0,-0.6211647001595125,60.0
18.0,0.15097852709127166,60.0
19.0,0.7464525150376817,60.0
20.0,-0.11354536584316009,60.0
21.0,1.6236936319728865,60.0
22.0,0.32310722567848904,60.0
23.0,0.3185515665156561,60.0
24.0,-1.1487919172337087,60.0
25.0,-0.784519868332405,60.0
26.0,0.1978703571130791,60.0
27.0,1.553772542727513,60.0
28.0,-0.7351646015137849,60.0
29.0,-1.0125943540584526,60.0
30.0,0.3882554959574961,60.0
31.0,1.8280339999751816,60.0
32.0,2.7659225220132475,60.0
33.0,3.3993048920172155,60.0
34.0,2.1650898245496917,60.0
35.0,5.048103760637591,60.0
36.0,3.9451472780838435,60.0
37.0,3.6674113541632245,60.0
38.0,4.370668839800155,60.0
39.0,3.52417091882585,60.0
40.0,7.689114203287925,60.0
41.0,8.377405724478724,60.0
42.0,6.133877482321451,60.0
43.0,8.106954202398612,60.0
44.0,7.844548135751222,60.0
45.0,9.792849875825452,60.0
46.0,7.882376817442635,60.0
47.0,10.598649585593492,60.0
48.0,9.337384134614652,60.0
49.0,11.633830517743705,60.0
50.0,8.540565485543864,60.0
51.0,10.550803482773937,60.0
52.0,10.229380476370705,60.0
53.0,9.432733322192991,60.0
54.0,9.467287244789134,60.0
55.0,8.650924139411243,60.0
56.0,7.919320214556861,60.0
57.0,7.860014157434519,60.0
58.0,7.249532347378665,60.0
59.0,5.961973450676609,60.0
60.0,6.514432418012863,60.0
61.0,6.006091444519559,60.0
62.0,4.392934757018837,60.0
63.0,4.5987811563357255,60.0
64.0,0.8907547864905423,60.0
65.0,3.042714752946938,60.0
66.0,4.9890484760967,60.0
67.0,4.4123426131550865,60.0
68.0,2.795345825997045,60.0
69.0,0.02195073056826735,60.0
70.0,0.5472162506002405,60.0
71.0,1.5163546822308687,60.0
72.0,-0.8863902755058721,60.0
73.0,0.9211553344195313,60.0
74.0,0.8215744296258642,60.0
75.0,0.8638346898108843,60.0
76.0,1.3031290656974495,60.0
77.0,-0.8032373033520533,60.0
78.0,-1.7447485986531683,60.0
79.0,-0.39675695937348693,60.0
80.0,-0.7218836941507906,60.0
81.0,-0.5393656463163949,60.0
82.0,-0.07205904346663963,60.0
83.0,-1.5769972396777656,60.0
84.0,0.19452558251218996,60.0
85.0,-0.16195053773043888,60.0
86.0,0.5149518501426875,60.0
87.0,-0.9919415268398236,60.0
88.0,-1.4611981957213918,60.0
89.0,-0.35125393349434175,60.0
90.0,-1.215756403760401,60.0
91.0,-1.437653632251298,60.0
92.0,-0.0025610730401571928,60.0
93.0,-0.4020734902199638,60.0
94.0,0.6781454204053164,60.0
95.0,1.3066921893924242,60.0
96.0,-0.11855029963796807,60.0
97.0,-0.9657876335458888,60.0
98.0,1.5720517645756107,60.0
99.0,-0.27031944521736945,60.0
